Key ,Scenario ,RoofType ,WallType ,2m  ,3m  ,4m  ,6m  ,Size   ,Grade
A10 ,A        ,Light    ,NA       ,1.2 ,1.1 ,1.0 ,0.8 ,90x70  ,SG8
A10 ,A        ,Light    ,NA       ,1.4 ,1.2 ,1.1 ,1.0 ,90x90  ,SG8
A10 ,A        ,Light    ,NA       ,2.0 ,1.7 ,1.5 ,1.3 ,140x70 ,SG8
A10 ,A        ,Light    ,NA       ,2.1 ,1.9 ,1.8 ,1.6 ,140x90 ,SG8
A10 ,A        ,Light    ,NA       ,2.7 ,2.4 ,2.1 ,1.8 ,190x70 ,SG8
A10 ,A        ,Light    ,NA       ,2.9 ,2.6 ,2.4 ,2.1 ,190x90 ,SG8
A10 ,A        ,Light    ,NA       ,3.4 ,3.0 ,2.7 ,2.2 ,240x70 ,SG8
A10 ,A        ,Light    ,NA       ,3.6 ,3.3 ,3.1 ,2.7 ,240x90 ,SG8
A10 ,A        ,Light    ,NA       ,4.0 ,3.7 ,3.2 ,2.7 ,290x70 ,SG8
A10 ,A        ,Light    ,NA       ,4.2 ,3.9 ,3.7 ,3.3 ,290x90 ,SG8
A20 ,A        ,Heavy    ,NA       ,1.0 ,0.9 ,0.8 ,0.7 ,90x70  ,SG8
A20 ,A        ,Heavy    ,NA       ,1.0 ,0.9 ,0.9 ,0.8 ,90x90  ,SG8
A20 ,A        ,Heavy    ,NA       ,1.5 ,1.4 ,1.3 ,1.1 ,140x70 ,SG8
A20 ,A        ,Heavy    ,NA       ,1.6 ,1.5 ,1.4 ,1.2 ,140x90 ,SG8
A20 ,A        ,Heavy    ,NA       ,2.1 ,1.9 ,1.7 ,1.5 ,190x70 ,SG8
A20 ,A        ,Heavy    ,NA       ,2.3 ,2.0 ,1.9 ,1.7 ,190x90 ,SG8
A20 ,A        ,Heavy    ,NA       ,2.6 ,2.4 ,2.2 ,1.9 ,240x70 ,SG8
A20 ,A        ,Heavy    ,NA       ,2.9 ,2.6 ,2.4 ,2.1 ,240x90 ,SG8
A20 ,A        ,Heavy    ,NA       ,3.2 ,2.9 ,2.6 ,2.3 ,290x70 ,SG8
A20 ,A        ,Heavy    ,NA       ,3.5 ,3.1 ,2.9 ,2.6 ,290x90 ,SG8
B11 ,B        ,Light    ,Light    ,1   ,1   ,0.9 ,0.8 ,90x70  ,SG8
B11 ,B        ,Light    ,Light    ,1.1 ,1.1 ,1   ,0.9 ,90x90  ,SG8
B11 ,B        ,Light    ,Light    ,1.6 ,1.5 ,1.4 ,1.3 ,140x70 ,SG8
B11 ,B        ,Light    ,Light    ,1.8 ,1.7 ,1.6 ,1.4 ,140x90 ,SG8
B11 ,B        ,Light    ,Light    ,2.2 ,2.1 ,2   ,1.8 ,190x70 ,SG8
B11 ,B        ,Light    ,Light    ,2.4 ,2.3 ,2.2 ,2   ,190x90 ,SG8
B11 ,B        ,Light    ,Light    ,2.8 ,2.7 ,2.5 ,2.3 ,240x70 ,SG8
B11 ,B        ,Light    ,Light    ,3.1 ,2.9 ,2.7 ,2.5 ,240x90 ,SG8
B11 ,B        ,Light    ,Light    ,3.4 ,3.2 ,3   ,2.7 ,290x70 ,SG8
B11 ,B        ,Light    ,Light    ,3.7 ,3.5 ,3.3 ,3   ,290x90 ,SG8
B12 ,B        ,Light    ,Medium   ,0.9 ,0.9 ,0.7 ,0.6 ,90x70  ,SG8
B12 ,B        ,Light    ,Medium   ,1   ,1   ,0.8 ,0.7 ,90x90  ,SG8
B12 ,B        ,Light    ,Medium   ,1.5 ,1.4 ,1.1 ,1   ,140x70 ,SG8
B12 ,B        ,Light    ,Medium   ,1.6 ,1.5 ,1.2 ,1.1 ,140x90 ,SG8
B12 ,B        ,Light    ,Medium   ,2   ,1.9 ,1.5 ,1.3 ,190x70 ,SG8
B12 ,B        ,Light    ,Medium   ,2.2 ,2.1 ,1.7 ,1.5 ,190x90 ,SG8
B12 ,B        ,Light    ,Medium   ,2.5 ,2.4 ,1.9 ,1.7 ,240x70 ,SG8
B12 ,B        ,Light    ,Medium   ,2.7 ,2.6 ,2.1 ,1.9 ,240x90 ,SG8
B12 ,B        ,Light    ,Medium   ,3.1 ,2.9 ,2.3 ,2   ,290x70 ,SG8
B12 ,B        ,Light    ,Medium   ,3.3 ,3.2 ,2.6 ,2.4 ,290x90 ,SG8
B21 ,B        ,Heavy    ,Light    ,0.9 ,0.8 ,0.7 ,0.6 ,90x70  ,SG8
B21 ,B        ,Heavy    ,Light    ,0.9 ,0.9 ,0.8 ,0.7 ,90x90  ,SG8
B21 ,B        ,Heavy    ,Light    ,1.4 ,1.3 ,1.2 ,1   ,140x70 ,SG8
B21 ,B        ,Heavy    ,Light    ,1.5 ,1.4 ,1.3 ,1.2 ,140x90 ,SG8
B21 ,B        ,Heavy    ,Light    ,1.9 ,1.7 ,1.6 ,1.4 ,190x70 ,SG8
B21 ,B        ,Heavy    ,Light    ,2   ,1.9 ,1.8 ,1.6 ,190x90 ,SG8
B21 ,B        ,Heavy    ,Light    ,2.4 ,2.2 ,2.1 ,1.8 ,240x70 ,SG8
B21 ,B        ,Heavy    ,Light    ,2.6 ,2.4 ,2.2 ,2   ,240x90 ,SG8
B21 ,B        ,Heavy    ,Light    ,2.9 ,2.7 ,2.5 ,2.1 ,290x70 ,SG8
B21 ,B        ,Heavy    ,Light    ,3.1 ,2.9 ,2.7 ,2.4 ,290x90 ,SG8
B22 ,B        ,Heavy    ,Medium   ,0.8 ,0.7 ,0.7 ,0.6 ,90x70  ,SG8
B22 ,B        ,Heavy    ,Medium   ,0.9 ,0.8 ,0.8 ,0.7 ,90x90  ,SG8
B22 ,B        ,Heavy    ,Medium   ,1.3 ,1.2 ,1.1 ,1   ,140x70 ,SG8
B22 ,B        ,Heavy    ,Medium   ,1.4 ,1.3 ,1.2 ,1.1 ,140x90 ,SG8
B22 ,B        ,Heavy    ,Medium   ,1.7 ,1.6 ,1.5 ,1.3 ,190x70 ,SG8
B22 ,B        ,Heavy    ,Medium   ,1.9 ,1.8 ,1.7 ,1.5 ,190x90 ,SG8
B22 ,B        ,Heavy    ,Medium   ,2.2 ,2.1 ,1.9 ,1.7 ,240x70 ,SG8
B22 ,B        ,Heavy    ,Medium   ,2.4 ,2.3 ,2.1 ,1.9 ,240x90 ,SG8
B22 ,B        ,Heavy    ,Medium   ,2.7 ,2.5 ,2.3 ,2   ,290x70 ,SG8
B22 ,B        ,Heavy    ,Medium   ,2.9 ,2.7 ,2.6 ,2.4 ,290x90 ,SG8
C11 ,C        ,Light    ,Light    ,1   ,1   ,0.9 ,0.9 ,140x70 ,SG8
C11 ,C        ,Light    ,Light    ,1.2 ,1.2 ,1.1 ,1.1 ,140x90 ,SG8
C11 ,C        ,Light    ,Light    ,1.4 ,1.3 ,1.3 ,1.2 ,190x70 ,SG8
C11 ,C        ,Light    ,Light    ,1.7 ,1.6 ,1.6 ,1.5 ,190x90 ,SG8
C11 ,C        ,Light    ,Light    ,1.8 ,1.7 ,1.6 ,1.5 ,240x70 ,SG8
C11 ,C        ,Light    ,Light    ,2.1 ,2.1 ,2   ,1.9 ,240x90 ,SG8
C11 ,C        ,Light    ,Light    ,2.1 ,2.1 ,2   ,1.9 ,290x70 ,SG8
C11 ,C        ,Light    ,Light    ,2.6 ,2.5 ,2.4 ,2.3 ,290x90 ,SG8
C12 ,C        ,Light    ,Medium   ,1   ,0.9 ,0.8 ,0.8 ,140x70 ,SG8
C12 ,C        ,Light    ,Medium   ,1.2 ,1.1 ,1   ,0.9 ,140x90 ,SG8
C12 ,C        ,Light    ,Medium   ,1.3 ,1.3 ,1.1 ,1.1 ,190x70 ,SG8
C12 ,C        ,Light    ,Medium   ,1.6 ,1.6 ,1.4 ,1.3 ,190x90 ,SG8
C12 ,C        ,Light    ,Medium   ,1.7 ,1.6 ,1.5 ,1.3 ,240x70 ,SG8
C12 ,C        ,Light    ,Medium   ,2.1 ,2   ,1.8 ,1.6 ,240x90 ,SG8
C12 ,C        ,Light    ,Medium   ,2.1 ,2   ,1.8 ,1.6 ,290x70 ,SG8
C12 ,C        ,Light    ,Medium   ,2.5 ,2.4 ,2.1 ,2   ,290x90 ,SG8
C21 ,C        ,Heavy    ,Light    ,0.9 ,0.9 ,0.9 ,0.8 ,140x70 ,SG8
C21 ,C        ,Heavy    ,Light    ,1.2 ,1.1 ,1   ,1   ,140x90 ,SG8
C21 ,C        ,Heavy    ,Light    ,1.3 ,1.2 ,1.2 ,1.1 ,190x70 ,SG8
C21 ,C        ,Heavy    ,Light    ,1.6 ,1.5 ,1.4 ,1.3 ,190x90 ,SG8
C21 ,C        ,Heavy    ,Light    ,1.7 ,1.6 ,1.5 ,1.4 ,240x70 ,SG8
C21 ,C        ,Heavy    ,Light    ,2   ,1.9 ,1.8 ,1.7 ,240x90 ,SG8
C21 ,C        ,Heavy    ,Light    ,2   ,1.9 ,1.8 ,1.7 ,290x70 ,SG8
C21 ,C        ,Heavy    ,Light    ,2.4 ,2.3 ,2.2 ,2   ,290x90 ,SG8
C22 ,C        ,Heavy    ,Medium   ,0.9 ,0.9 ,0.8 ,0.8 ,140x70 ,SG8
C22 ,C        ,Heavy    ,Medium   ,1.1 ,1.1 ,1   ,0.9 ,140x90 ,SG8
C22 ,C        ,Heavy    ,Medium   ,1.3 ,1.2 ,1.1 ,1.1 ,190x70 ,SG8
C22 ,C        ,Heavy    ,Medium   ,1.5 ,1.5 ,1.4 ,1.3 ,190x90 ,SG8
C22 ,C        ,Heavy    ,Medium   ,1.6 ,1.5 ,1.5 ,1.3 ,240x70 ,SG8
C22 ,C        ,Heavy    ,Medium   ,1.9 ,1.8 ,1.8 ,1.6 ,240x90 ,SG8
C22 ,C        ,Heavy    ,Medium   ,1.9 ,1.9 ,1.8 ,1.8 ,290x70 ,SG8
C22 ,C        ,Heavy    ,Medium   ,2.4 ,2.2 ,2.1 ,2   ,290x90 ,SG8
D01 ,E        ,NA       ,Light    ,1.1 ,1.1 ,    ,    ,140x70 ,SG8
D01 ,E        ,NA       ,Light    ,1.4 ,1.4 ,    ,    ,140x90 ,SG8
D01 ,E        ,NA       ,Light    ,1.6 ,1.6 ,    ,    ,190x70 ,SG8
D01 ,E        ,NA       ,Light    ,1.9 ,1.9 ,    ,    ,190x90 ,SG8
D01 ,E        ,NA       ,Light    ,2   ,2   ,    ,    ,240x70 ,SG8
D01 ,E        ,NA       ,Light    ,2.4 ,2.4 ,    ,    ,240x90 ,SG8
D01 ,E        ,NA       ,Light    ,2.4 ,2.4 ,    ,    ,290x70 ,SG8
D01 ,E        ,NA       ,Light    ,2.9 ,2.9 ,    ,    ,290x90 ,SG8
D02 ,E        ,NA       ,Medium   ,1.1 ,1.1 ,    ,    ,140x70 ,SG8
D02 ,E        ,NA       ,Medium   ,1.4 ,1.4 ,    ,    ,140x90 ,SG8
D02 ,E        ,NA       ,Medium   ,1.5 ,1.5 ,    ,    ,190x70 ,SG8
D02 ,E        ,NA       ,Medium   ,1.9 ,1.9 ,    ,    ,190x90 ,SG8
D02 ,E        ,NA       ,Medium   ,1.9 ,1.9 ,    ,    ,240x70 ,SG8
D02 ,E        ,NA       ,Medium   ,2.3 ,2.3 ,    ,    ,240x90 ,SG8
D02 ,E        ,NA       ,Medium   ,2.4 ,2.4 ,    ,    ,290x70 ,SG8
D02 ,E        ,NA       ,Medium   ,2.8 ,2.8 ,    ,    ,290x90 ,SG8
E00 ,D        ,NA       ,NA       ,1.5 ,1   ,1   ,0.8 ,140x70 ,SG8
E00 ,D        ,NA       ,NA       ,1.8 ,1.3 ,1.3 ,1   ,140x90 ,SG8
E00 ,D        ,NA       ,NA       ,2   ,1.4 ,1.4 ,1.2 ,190x70 ,SG8
E00 ,D        ,NA       ,NA       ,2.4 ,1.7 ,1.7 ,1.4 ,190x90 ,SG8
E00 ,D        ,NA       ,NA       ,2.6 ,1.8 ,1.8 ,1.5 ,240x70 ,SG8
E00 ,D        ,NA       ,NA       ,3.1 ,2.2 ,2.2 ,1.8 ,240x90 ,SG8
E00 ,D        ,NA       ,NA       ,3.1 ,2.2 ,2.2 ,1.8 ,290x70 ,SG8
E00 ,D        ,NA       ,NA       ,3.7 ,2.7 ,2.7 ,2.2 ,290x90 ,SG8
